Ride ID,Date & Time,City,Vehicle Type,Driver ID,Customer ID,Distance (km),Duration (min),Fare (INR),Payment Method,Ride Status,Revenue (INR),Driver Education Qualification,Customer Rating,Fare per KM (auto QC)
RX001220,03-Feb-2022 06:26,Pune,Auto,D0339,C02522,9.9,29,138.20,Card,Completed,112.54,High School,5.0,13.96
RX001221,03-Feb-2022 06:33,Delhi,Sedan,D0243,C02793,3.1,6,115.40,Wallet,Completed,93.86,High School,4.5,37.23
RX001222,03-Feb-2022 08:49,Pune,Auto,D0361,C01124,4.5,13,96.53,UPI,Completed,75.75,Post Graduate,4.5,21.45
RX001223,03-Feb-2022 17:18,Hyderabad,Auto,D0020,C04234,5.9,17,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX001224,03-Feb-2022 17:39,Chennai,Bike,D0252,C02810,4.5,9,47.00,UPI,Completed,38.39,Graduate,4.5,10.44
RX001225,03-Feb-2022 18:33,Bangalore,Mini,D0287,C00548,3.5,8,0.00,Card,No Show,0.00,High School,,0.00
RX001226,03-Feb-2022 19:41,Ahmedabad,Sedan,D0005,C00146,5.9,14,207.27,UPI,Completed,162.05,High School,5.0,35.13
RX001227,03-Feb-2022 19:49,Chennai,Bike,D0346,C04253,4.9,8,68.08,UPI,Completed,53.70,Graduate,4.5,13.89
RX001228,04-Feb-2022 07:13,Delhi,Bike,D0183,C05335,2.7,5,36.00,Card,Completed,28.65,Diploma,5.0,13.33
RX001229,04-Feb-2022 15:26,Hyderabad,Mini,D0219,C03384,7.3,21,156.80,Card,Completed,125.90,Graduate,4.0,21.48
RX001230,04-Feb-2022 16:00,Delhi,Bike,D0318,C03387,4.1,8,44.50,Wallet,Completed,35.79,Graduate,4.5,10.85
RX001231,04-Feb-2022 17:56,Mumbai,Auto,D0185,C01918,9.3,25,129.40,Cash,Completed,102.22,Graduate,4.5,13.91
RX001232,04-Feb-2022 18:13,Chennai,Bike,D0291,C00763,2.7,5,42.36,Card,Completed,33.22,Graduate,4.5,15.69
RX001233,04-Feb-2022 20:34,Bangalore,Mini,D0276,C00003,3.4,8,150.22,UPI,Completed,118.24,Diploma,4.5,44.18
RX001234,05-Feb-2022 08:13,Ahmedabad,Mini,D0366,C05805,13,34,329.53,UPI,Completed,261.91,Diploma,5.0,25.35
RX001235,05-Feb-2022 10:08,Bangalore,Sedan,D0178,C00204,11.1,23,261.40,Cash,Completed,204.23,Post Graduate,5.0,23.55
RX001236,05-Feb-2022 17:33,Ahmedabad,Sedan,D0389,C04034,1.9,4,94.60,Cash,Completed,73.85,High School,4.0,49.79
RX001237,05-Feb-2022 19:09,Chennai,Sedan,D0374,C04220,7.2,16,260.82,UPI,Completed,207.47,Diploma,4.0,36.23
RX001238,06-Feb-2022 08:58,Hyderabad,Auto,D0030,C00317,4.9,11,126.46,Card,Completed,100.11,Graduate,4.5,25.81
RX001239,06-Feb-2022 13:34,Mumbai,Bike,D0057,C02170,7.8,16,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX001240,06-Feb-2022 16:11,Delhi,Bike,D0094,C05872,3,6,38.00,Cash,Completed,31.03,Diploma,4.0,12.67
RX001241,06-Feb-2022 19:01,Kolkata,Mini,D0212,C04152,9,27,0.00,,Cancelled by Driver,0.00,Diploma,,0.00
RX001242,06-Feb-2022 19:55,Ahmedabad,Sedan,D0340,C01725,7,14,227.12,UPI,Completed,183.54,Post Graduate,4.0,32.45
RX001243,06-Feb-2022 23:40,Mumbai,Sedan,D0219,C02555,8.8,19,221.20,UPI,Completed,181.28,Graduate,4.5,25.14
RX001244,07-Feb-2022 07:03,Mumbai,Mini,D0202,C01747,5.2,13,121.70,Card,Completed,96.26,Post Graduate,4.5,23.40
RX001245,07-Feb-2022 07:39,Pune,Auto,D0036,C00191,4.6,10,76.80,Wallet,Completed,60.69,High School,4.0,16.70
RX001246,07-Feb-2022 14:04,Delhi,Sedan,D0363,C04700,5.4,13,161.60,Cash,Completed,128.81,High School,5.0,29.93
RX001247,07-Feb-2022 15:21,Ahmedabad,Sedan,D0251,C04212,7.3,17,196.20,Card,Completed,156.37,Graduate,4.5,26.88
RX001248,07-Feb-2022 16:30,Bangalore,Mini,D0222,C03304,4.8,13,117.30,Card,Completed,94.36,Diploma,4.0,24.44
RX001249,07-Feb-2022 17:25,Mumbai,Bike,D0397,C05881,5.7,11,54.00,UPI,Completed,43.91,Graduate,4.0,9.47
RX001250,07-Feb-2022 17:39,Hyderabad,Auto,D0133,C04809,3.7,9,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX001251,07-Feb-2022 18:46,Mumbai,Auto,D0287,C03756,11.9,35,246.02,UPI,Completed,199.67,High School,5.0,20.67
RX001252,07-Feb-2022 19:53,Hyderabad,Auto,D0001,C01937,7.8,24,176.57,Card,Completed,139.54,Graduate,4.0,22.64
RX001253,08-Feb-2022 06:07,Hyderabad,Bike,D0314,C04811,6.5,12,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX001254,08-Feb-2022 06:43,Bangalore,SUV Premier,D0171,C01430,4.9,9,215.00,UPI,Completed,168.02,High School,5.0,43.88
RX001255,08-Feb-2022 08:53,Mumbai,Auto,D0307,C04356,2.9,7,83.44,Card,Completed,66.34,Diploma,5.0,28.77
RX001256,08-Feb-2022 09:42,Bangalore,Bike,D0038,C00801,5.2,9,65.99,Card,Completed,53.23,Diploma,5.0,12.69
RX001257,09-Feb-2022 06:04,Kolkata,Bike,D0224,C03873,8,23,0.00,,Cancelled by Customer,0.00,Post Graduate,,0.00
RX001258,09-Feb-2022 07:10,Ahmedabad,Bike,D0380,C00553,8.3,18,70.50,UPI,Completed,57.69,Graduate,4.5,8.49
RX001259,09-Feb-2022 07:36,Delhi,Mini,D0338,C02813,11.9,24,211.90,UPI,Completed,167.35,Graduate,4.5,17.81
RX001260,09-Feb-2022 09:26,Mumbai,Mini,D0163,C03284,6.1,13,0.00,,Cancelled by Customer,0.00,High School,,0.00
RX001261,09-Feb-2022 15:24,Mumbai,Auto,D0042,C04495,5.1,12,82.80,UPI,Completed,65.96,Graduate,4.0,16.24
RX001262,09-Feb-2022 20:22,Mumbai,Mini,D0084,C01489,4.9,10,158.37,UPI,Completed,129.18,High School,5.0,32.32
RX001263,10-Feb-2022 08:46,Bangalore,Bike,D0007,C00544,1.6,3,0.00,,Cancelled by Customer,0.00,Graduate,,0.00
RX001264,10-Feb-2022 08:52,Kolkata,Auto,D0176,C03688,7.9,25,0.00,,Cancelled by Customer,0.00,High School,,0.00
RX001265,10-Feb-2022 09:03,Mumbai,Mini,D0140,C01696,3,7,25.00,Card,No Show,25.00,High School,,8.33
RX001266,10-Feb-2022 14:49,Chennai,Auto,D0336,C01296,3.4,10,67.20,UPI,Completed,53.07,Diploma,4.5,19.76
RX001267,10-Feb-2022 15:32,Chennai,Mini,D0191,C01035,3.6,9,98.10,Card,Completed,79.34,Post Graduate,4.5,27.25
RX001268,10-Feb-2022 16:51,Delhi,Sedan,D0329,C00479,4.9,9,146.60,UPI,Completed,117.23,Diploma,4.0,29.92
RX001269,10-Feb-2022 17:23,Delhi,Bike,D0200,C05365,8.2,14,68.00,UPI,Completed,54.84,Diploma,4.5,8.29
RX001270,10-Feb-2022 18:19,Delhi,Auto,D0259,C05204,1.6,4,59.83,Wallet,Completed,47.37,High School,4.5,37.39
RX001271,10-Feb-2022 18:44,Ahmedabad,Auto,D0008,C02948,2.9,7,189.35,UPI,Completed,153.90,Graduate,4.5,65.29
RX001272,10-Feb-2022 22:43,Delhi,Sedan,D0227,C05843,6.2,14,174.80,Card,Completed,140.29,High School,5.0,28.19
RX001273,10-Feb-2022 22:51,Kolkata,Bike,D0013,C00046,2.8,8,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX001274,11-Feb-2022 03:58,Hyderabad,Mini,D0394,C04246,6.9,17,146.40,Cash,Completed,117.01,Graduate,3.5,21.22
RX001275,11-Feb-2022 05:29,Bangalore,Mini,D0121,C01593,3.7,8,97.70,Card,Completed,77.82,Diploma,4.0,26.41
RX001276,11-Feb-2022 08:21,Kolkata,Auto,D0275,C02304,9.2,39,182.86,Card,Completed,148.03,Graduate,4.5,19.88
RX001277,11-Feb-2022 12:18,Chennai,SUV Premier,D0364,C03904,6.8,14,268.00,Cash,Completed,212.20,High School,5.0,39.41
RX001278,11-Feb-2022 19:21,Ahmedabad,Bike,D0160,C01079,5.6,11,69.46,UPI,Completed,54.23,Graduate,4.5,12.40
RX001279,11-Feb-2022 20:06,Mumbai,Mini,D0125,C03281,5.2,10,131.46,UPI,Completed,104.64,High School,4.5,25.28
RX001280,12-Feb-2022 08:53,Kolkata,Sedan,D0134,C05796,4.3,11,215.93,Card,Completed,172.97,Diploma,3.5,50.22
RX001281,12-Feb-2022 11:38,Bangalore,SUV Premier,D0094,C04828,6.4,17,269.00,Card,Completed,213.18,Diploma,4.0,42.03
RX001282,12-Feb-2022 12:54,Pune,Auto,D0168,C02947,11.9,37,0.00,,Cancelled by Customer,0.00,Graduate,,0.00
RX001283,12-Feb-2022 13:30,Hyderabad,Mini,D0178,C01254,3.8,10,101.80,Cash,Completed,80.29,Post Graduate,4.5,26.79
RX001284,12-Feb-2022 16:32,Bangalore,Sedan,D0166,C04203,3.5,7,123.00,Cash,Completed,97.21,Diploma,4.5,35.14
RX001285,12-Feb-2022 16:32,Ahmedabad,SUV Premier,D0038,C01696,5.2,10,224.00,UPI,Completed,181.15,Diploma,5.0,43.08
RX001286,12-Feb-2022 18:09,Chennai,Mini,D0341,C01515,2.7,5,0.00,Wallet,No Show,0.00,High School,,0.00
RX001287,12-Feb-2022 19:47,Delhi,Bike,D0368,C05035,4.8,9,59.90,UPI,Completed,47.02,Graduate,5.0,12.48
RX001288,12-Feb-2022 21:09,Mumbai,Auto,D0081,C00601,6.8,19,0.00,,Cancelled by Driver,0.00,Graduate,,0.00
RX001289,12-Feb-2022 21:15,Hyderabad,Bike,D0367,C04087,9.2,21,76.50,UPI,Completed,61.74,Graduate,5.0,8.32
RX001290,12-Feb-2022 22:39,Hyderabad,Mini,D0390,C05403,3.1,8,0.00,,Cancelled by Customer,0.00,Graduate,,0.00
RX001291,13-Feb-2022 00:09,Kolkata,Auto,D0280,C04752,6.8,21,0.00,,Cancelled by Customer,0.00,Graduate,,0.00
RX001292,13-Feb-2022 07:02,Mumbai,Sedan,D0073,C05910,6.7,14,181.80,Card,Completed,144.13,Graduate,4.5,27.13
RX001293,13-Feb-2022 09:59,Delhi,Mini,D0308,C01404,5.4,11,178.18,Card,Completed,143.29,Diploma,4.5,33.00
RX001294,13-Feb-2022 12:34,Mumbai,Mini,D0306,C02514,10.3,23,0.00,,Cancelled by Driver,0.00,Diploma,,0.00
RX001295,13-Feb-2022 13:26,Delhi,Sedan,D0374,C02288,3.3,7,120.20,UPI,Completed,95.48,Diploma,4.0,36.42
RX001296,13-Feb-2022 14:44,Bangalore,Auto,D0194,C04185,2.7,6,57.60,UPI,Completed,46.05,Graduate,4.0,21.33
RX001297,13-Feb-2022 17:15,Bangalore,Auto,D0188,C00031,13.1,39,173.80,Cash,Completed,137.12,High School,5.0,13.27
RX001298,13-Feb-2022 17:44,Bangalore,Auto,D0010,C03987,4.7,12,79.60,UPI,Completed,63.81,Diploma,4.0,16.94
RX001299,13-Feb-2022 20:19,Bangalore,Bike,D0270,C04991,2.7,6,52.49,Cash,Completed,41.32,High School,5.0,19.44
RX001300,14-Feb-2022 04:15,Delhi,SUV Premier,D0195,C04441,7.4,19,295.00,UPI,Completed,239.53,High School,5.0,39.86
RX001301,14-Feb-2022 05:24,Delhi,Auto,D0389,C00719,3.4,8,65.20,Cash,Completed,51.45,High School,4.5,19.18
RX001302,14-Feb-2022 06:43,Hyderabad,Sedan,D0075,C01096,3.9,10,134.60,UPI,Completed,109.61,High School,5.0,34.51
RX001303,14-Feb-2022 09:19,Hyderabad,Mini,D0187,C01519,1.5,4,90.87,UPI,Completed,72.01,Diploma,3.5,60.58
RX001304,14-Feb-2022 13:16,Mumbai,Mini,D0206,C03639,7.2,19,152.70,UPI,Completed,122.92,High School,4.0,21.21
RX001305,14-Feb-2022 14:28,Delhi,Sedan,D0252,C02950,3.4,8,123.60,UPI,Completed,97.45,Graduate,5.0,36.35
RX001306,14-Feb-2022 15:23,Delhi,Bike,D0296,C05231,7.1,11,61.00,Wallet,Completed,49.95,Graduate,4.0,8.59
RX001307,14-Feb-2022 18:57,Hyderabad,Auto,D0265,C02118,5.7,18,133.98,UPI,Completed,108.57,Graduate,4.5,23.51
RX001308,14-Feb-2022 18:59,Hyderabad,Bike,D0269,C02721,2.6,5,49.42,Cash,Completed,40.16,High School,4.0,19.01
RX001309,14-Feb-2022 19:24,Ahmedabad,Bike,D0225,C05534,9.9,17,124.17,Card,Completed,99.88,High School,4.5,12.54
RX001310,15-Feb-2022 09:17,Pune,Bike,D0269,C03510,5.3,11,63.51,Card,Completed,50.37,High School,5.0,11.98
RX001311,15-Feb-2022 09:35,Delhi,Mini,D0050,C02232,3,6,100.93,UPI,Completed,80.97,High School,3.5,33.64
RX001312,15-Feb-2022 14:37,Mumbai,Sedan,D0373,C02286,5.2,11,154.80,Wallet,Completed,121.33,Diploma,5.0,29.77
RX001313,15-Feb-2022 14:58,Delhi,Bike,D0080,C01815,1.5,4,29.50,UPI,Completed,23.63,Graduate,4.5,19.67
RX001314,15-Feb-2022 19:44,Bangalore,Auto,D0253,C03789,2,6,59.23,UPI,Completed,46.88,Diploma,4.0,29.62
RX001315,15-Feb-2022 20:24,Hyderabad,Auto,D0378,C03423,3.2,8,78.36,UPI,Completed,62.34,Diploma,4.0,24.49
RX001316,15-Feb-2022 21:22,Pune,SUV Premier,D0340,C00012,1.6,3,131.00,Cash,Completed,104.26,Post Graduate,4.5,81.88
RX001317,15-Feb-2022 21:52,Mumbai,Mini,D0033,C00470,4.6,10,110.60,UPI,Completed,90.49,Diploma,4.5,24.04
RX001318,16-Feb-2022 07:20,Bangalore,Mini,D0032,C03199,4.9,14,119.90,Card,Completed,96.97,Post Graduate,5.0,24.47
RX001319,16-Feb-2022 07:53,Bangalore,Sedan,D0170,C04983,6.4,12,173.60,Cash,Completed,137.95,Post Graduate,4.5,27.13
RX001320,16-Feb-2022 09:32,Hyderabad,Bike,D0015,C02279,2.4,5,46.10,Wallet,Completed,37.58,Diploma,4.0,19.21
RX001321,16-Feb-2022 14:25,Mumbai,Sedan,D0205,C04873,1.7,4,91.80,Cash,Completed,71.99,High School,4.5,54.00
RX001322,16-Feb-2022 19:36,Delhi,Auto,D0239,C05745,2.3,7,25.00,UPI,No Show,25.00,High School,,10.87
RX001323,16-Feb-2022 20:31,Kolkata,Mini,D0103,C02985,3.3,12,137.09,Cash,Completed,110.84,High School,4.0,41.54
RX001324,16-Feb-2022 22:28,Mumbai,Sedan,D0164,C03545,8.5,20,219.00,Cash,Completed,173.70,High School,3.5,25.76
RX001325,17-Feb-2022 09:26,Bangalore,Mini,D0190,C05838,7.9,19,187.48,UPI,Completed,148.81,High School,4.5,23.73
RX001326,17-Feb-2022 09:55,Delhi,Bike,D0137,C05309,4.4,10,65.97,Cash,Completed,54.06,Post Graduate,4.5,14.99
RX001327,17-Feb-2022 14:10,Ahmedabad,Auto,D0391,C02514,3.2,7,62.60,UPI,Completed,50.74,Diploma,4.0,19.56
RX001328,17-Feb-2022 18:55,Ahmedabad,Sedan,D0262,C02941,6.2,15,218.61,UPI,Completed,171.27,Graduate,4.0,35.26
RX001329,17-Feb-2022 19:36,Hyderabad,Bike,D0127,C01317,7.9,16,106.41,UPI,Completed,85.97,Diploma,5.0,13.47
RX001330,17-Feb-2022 19:54,Ahmedabad,Auto,D0020,C01995,6.6,16,112.54,UPI,Completed,88.78,Diploma,4.5,17.05
RX001331,18-Feb-2022 07:46,Ahmedabad,Auto,D0363,C03521,2.8,8,60.40,Card,Completed,47.56,High School,4.5,21.57
RX001332,18-Feb-2022 09:31,Mumbai,Sedan,D0308,C00383,10.4,21,384.06,Wallet,Completed,308.83,Diploma,4.5,36.93
RX001333,18-Feb-2022 14:48,Delhi,Sedan,D0377,C04002,3,7,116.00,Card,Completed,92.47,Post Graduate,4.0,38.67
RX001334,18-Feb-2022 15:04,Delhi,Sedan,D0133,C03484,1.8,5,95.20,UPI,Completed,75.83,Diploma,5.0,52.89
RX001335,18-Feb-2022 15:36,Bangalore,Bike,D0130,C02316,7.1,12,61.50,Wallet,Completed,48.76,Diploma,5.0,8.66
RX001336,18-Feb-2022 17:24,Bangalore,Bike,D0055,C05699,5.4,12,53.00,UPI,Completed,42.01,Graduate,5.0,9.81
RX001337,18-Feb-2022 18:43,Hyderabad,Sedan,D0093,C04256,5.3,14,179.30,UPI,Completed,143.60,Diploma,4.0,33.83
RX001338,18-Feb-2022 18:51,Kolkata,Mini,D0357,C05942,4.7,14,179.33,Card,Completed,143.83,Graduate,4.5,38.16
RX001339,19-Feb-2022 00:07,Pune,SUV Premier,D0145,C04483,7.2,15,279.00,UPI,Completed,217.77,Diploma,5.0,38.75
RX001340,19-Feb-2022 05:51,Mumbai,Mini,D0252,C05006,11.5,27,212.00,Wallet,Completed,166.22,Graduate,4.0,18.43
RX001341,19-Feb-2022 06:28,Mumbai,SUV Premier,D0075,C03052,4.9,10,218.00,Wallet,Completed,175.34,High School,3.0,44.49
RX001342,19-Feb-2022 06:51,Mumbai,Sedan,D0121,C03798,2,5,98.00,UPI,Completed,79.48,Diploma,4.5,49.00
RX001343,19-Feb-2022 09:23,Bangalore,Auto,D0313,C04620,4.2,13,89.13,Cash,Completed,70.46,High School,4.5,21.22
RX001344,19-Feb-2022 14:13,Delhi,Auto,D0009,C00379,7.2,20,237.49,UPI,Completed,191.22,High School,4.0,32.98
RX001345,19-Feb-2022 19:29,Delhi,Mini,D0247,C02410,4.1,10,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX001346,19-Feb-2022 21:42,Kolkata,Sedan,D0349,C00223,3.6,12,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX001347,19-Feb-2022 22:45,Kolkata,Bike,D0038,C03472,3.6,10,43.00,Wallet,Completed,34.72,Diploma,2.5,11.94
RX001348,20-Feb-2022 07:00,Pune,Mini,D0046,C03713,9.1,25,182.60,Card,Completed,146.28,Graduate,4.5,20.07
RX001349,20-Feb-2022 09:10,Mumbai,Mini,D0255,C02739,4,9,160.90,Card,Completed,129.86,High School,5.0,40.23
RX001350,20-Feb-2022 10:40,Bangalore,Bike,D0222,C00302,16.4,32,118.00,Cash,Completed,93.39,Diploma,4.5,7.20
RX001351,20-Feb-2022 11:44,Hyderabad,Bike,D0003,C05997,3,5,37.50,UPI,Completed,30.42,Graduate,4.5,12.50
RX001352,20-Feb-2022 15:50,Ahmedabad,Mini,D0147,C02260,8.1,19,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX001353,20-Feb-2022 16:11,Pune,Mini,D0345,C01263,11.1,29,210.60,Cash,Completed,165.23,Graduate,3.5,18.97
RX001354,20-Feb-2022 16:26,Bangalore,Bike,D0335,C03661,2.4,5,34.50,Card,Completed,27.02,High School,3.5,14.38
RX001355,20-Feb-2022 17:18,Ahmedabad,Sedan,D0209,C01045,3.4,8,123.60,Card,Completed,96.57,High School,4.0,36.35
RX001356,20-Feb-2022 17:56,Bangalore,Auto,D0296,C05734,15.6,34,0.00,,Cancelled by Customer,0.00,Graduate,,0.00
RX001357,21-Feb-2022 06:59,Hyderabad,Auto,D0008,C00669,2.2,5,101.10,UPI,Completed,81.07,Graduate,4.5,45.95
RX001358,21-Feb-2022 15:02,Pune,Auto,D0352,C01084,11.5,32,154.00,Cash,Completed,120.51,High School,4.0,13.39
RX001359,21-Feb-2022 17:40,Delhi,Bike,D0149,C00367,3.8,7,42.50,Card,Completed,34.44,Diploma,5.0,11.18
RX001360,22-Feb-2022 07:33,Mumbai,Sedan,D0393,C04968,1.6,4,90.40,Card,Completed,71.81,Diploma,4.5,56.50
RX001361,22-Feb-2022 07:34,Ahmedabad,Mini,D0220,C02337,2,4,73.00,UPI,Completed,58.11,Diploma,4.5,36.50
RX001362,22-Feb-2022 08:18,Bangalore,Mini,D0340,C02352,6.4,14,0.00,,Cancelled by Customer,0.00,Post Graduate,,0.00
RX001363,22-Feb-2022 08:54,Delhi,Sedan,D0398,C02384,4.8,12,166.99,UPI,Completed,135.64,High School,4.5,34.79
RX001364,22-Feb-2022 08:57,Chennai,Sedan,D0373,C02583,9.2,24,276.31,UPI,Completed,216.57,Diploma,3.5,30.03
RX001365,22-Feb-2022 09:10,Delhi,SUV Premier,D0309,C03322,2.7,6,189.55,Cash,Completed,149.45,High School,5.0,70.20
RX001366,22-Feb-2022 09:40,Delhi,Auto,D0029,C03709,2.9,9,73.59,UPI,Completed,58.81,High School,4.0,25.38
RX001367,22-Feb-2022 20:43,Hyderabad,Mini,D0006,C05825,11,32,667.33,UPI,Completed,526.48,Post Graduate,4.0,60.67
RX001368,22-Feb-2022 22:07,Kolkata,Mini,D0277,C01891,3.6,14,105.60,UPI,Completed,82.82,Diploma,4.5,29.33
RX001369,22-Feb-2022 23:59,Delhi,SUV Premier,D0069,C05291,5.2,11,227.00,UPI,Completed,180.42,High School,5.0,43.65
RX001370,23-Feb-2022 08:11,Delhi,Mini,D0218,C05875,7.7,22,209.72,UPI,Completed,164.10,High School,4.0,27.24
RX001371,23-Feb-2022 10:29,Bangalore,Bike,D0393,C03021,4.5,9,47.00,Cash,Completed,38.42,Diploma,4.5,10.44
RX001372,23-Feb-2022 12:43,Mumbai,Sedan,D0101,C05657,4.4,9,139.60,Card,Completed,113.24,Graduate,4.0,31.73
RX001373,23-Feb-2022 13:22,Pune,Mini,D0352,C00984,4.5,11,111.00,UPI,Completed,88.66,High School,5.0,24.67
RX001374,23-Feb-2022 18:26,Mumbai,Sedan,D0145,C01634,7.6,15,271.59,UPI,Completed,217.07,Diploma,5.0,35.74
RX001375,23-Feb-2022 19:15,Bangalore,Mini,D0259,C03706,4.8,11,168.98,UPI,Completed,134.92,High School,4.0,35.20
RX001376,23-Feb-2022 20:25,Pune,Mini,D0113,C00778,3,8,109.85,UPI,Completed,89.28,Diploma,5.0,36.62
RX001377,24-Feb-2022 03:41,Mumbai,Auto,D0199,C00619,3.5,10,68.00,UPI,Completed,55.20,High School,4.5,19.43
RX001378,24-Feb-2022 05:10,Mumbai,Auto,D0151,C01243,7.1,21,107.80,UPI,Completed,84.88,Graduate,4.5,15.18
RX001379,24-Feb-2022 05:18,Delhi,Auto,D0340,C05800,1.8,5,49.40,Card,Completed,39.24,Post Graduate,4.0,27.44
RX001380,24-Feb-2022 08:51,Delhi,Sedan,D0276,C03288,4.6,9,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX001381,24-Feb-2022 16:03,Kolkata,Bike,D0028,C02412,2.4,7,0.00,,Cancelled by Customer,0.00,High School,,0.00
RX001382,24-Feb-2022 18:19,Mumbai,Bike,D0350,C03015,3.2,7,58.74,UPI,Completed,48.03,High School,3.0,18.36
RX001383,24-Feb-2022 18:50,Mumbai,Bike,D0119,C03301,9.1,16,114.25,Cash,Completed,93.00,Diploma,4.5,12.55
RX001384,25-Feb-2022 04:42,Bangalore,Mini,D0059,C04335,3.1,6,88.10,UPI,Completed,69.19,High School,4.0,28.42
RX001385,25-Feb-2022 06:30,Mumbai,Auto,D0126,C03309,4,9,71.00,UPI,Completed,57.16,Diploma,4.0,17.75
RX001386,25-Feb-2022 09:03,Delhi,Auto,D0255,C05687,5.8,17,122.06,Wallet,Completed,99.73,High School,4.5,21.04
RX001387,25-Feb-2022 10:44,Delhi,Mini,D0110,C01073,3.7,10,100.70,Cash,Completed,81.87,Graduate,4.0,27.22
RX001388,25-Feb-2022 10:45,Ahmedabad,Bike,D0291,C02192,2.6,5,35.50,Card,Completed,28.15,Graduate,3.5,13.65
RX001389,25-Feb-2022 13:11,Mumbai,Bike,D0258,C05983,10.5,23,25.00,Card,No Show,25.00,High School,,2.38
RX001390,25-Feb-2022 15:27,Chennai,Mini,D0371,C00803,5.1,13,0.00,,Cancelled by Customer,0.00,Graduate,,0.00
RX001391,25-Feb-2022 15:58,Chennai,Auto,D0339,C00670,3.8,11,71.40,Cash,Completed,57.02,High School,3.5,18.79
RX001392,25-Feb-2022 18:48,Mumbai,Auto,D0133,C00490,3.2,9,94.71,UPI,Completed,74.28,Diploma,4.0,29.60
RX001393,25-Feb-2022 19:52,Bangalore,Bike,D0015,C01892,3.4,6,45.34,UPI,Completed,35.74,Diploma,4.0,13.34
RX001394,25-Feb-2022 20:58,Bangalore,Bike,D0085,C03260,4.3,7,66.14,Card,Completed,52.23,High School,4.0,15.38
RX001395,26-Feb-2022 08:51,Mumbai,SUV Premier,D0029,C01423,4.1,8,307.11,Card,Completed,240.78,High School,4.5,74.90
RX001396,26-Feb-2022 15:00,Pune,Auto,D0193,C01613,7.2,21,108.60,Card,Completed,86.20,High School,5.0,15.08
RX001397,26-Feb-2022 15:44,Delhi,Auto,D0144,C03822,10.7,31,146.60,UPI,Completed,115.08,Diploma,4.0,13.70
RX001398,26-Feb-2022 16:06,Chennai,Bike,D0171,C05114,9.7,23,80.00,Card,Completed,65.54,High School,3.5,8.25
RX001399,26-Feb-2022 20:28,Mumbai,Auto,D0136,C01221,8.1,22,172.67,UPI,Completed,141.26,High School,5.0,21.32
RX001400,26-Feb-2022 20:53,Delhi,Sedan,D0134,C05611,2.8,7,155.29,UPI,Completed,124.25,Diploma,3.5,55.46
RX001401,26-Feb-2022 20:59,Hyderabad,Mini,D0190,C04022,2.7,7,107.68,UPI,Completed,87.69,High School,4.0,39.88
RX001402,27-Feb-2022 06:32,Bangalore,Bike,D0052,C02313,3.6,7,0.00,,Cancelled by Customer,0.00,High School,,0.00
RX001403,27-Feb-2022 08:11,Chennai,Auto,D0347,C01517,2.9,7,81.69,UPI,Completed,64.85,Post Graduate,4.5,28.17
RX001404,27-Feb-2022 13:59,Delhi,Bike,D0394,C01413,2.8,5,36.50,UPI,Completed,29.05,Graduate,4.0,13.04
RX001405,27-Feb-2022 17:07,Bangalore,Bike,D0375,C01960,3.7,6,41.50,UPI,Completed,32.43,High School,4.0,11.22
RX001406,27-Feb-2022 21:50,Pune,Auto,D0008,C04585,11.5,30,339.96,UPI,Completed,276.06,Graduate,4.0,29.56
RX001407,28-Feb-2022 00:05,Mumbai,Auto,D0169,C00661,4.7,13,80.60,Card,Completed,62.97,Diploma,4.5,17.15
RX001408,28-Feb-2022 02:47,Bangalore,Sedan,D0284,C00093,4.3,8,136.20,Cash,Completed,107.65,High School,5.0,31.67
RX001409,28-Feb-2022 08:51,Mumbai,Bike,D0105,C01714,4.4,9,55.28,UPI,Completed,43.41,Graduate,5.0,12.56
RX001410,28-Feb-2022 08:57,Hyderabad,Auto,D0152,C02207,10.1,27,186.23,UPI,Completed,149.18,Graduate,4.5,18.44
RX001411,28-Feb-2022 08:59,Pune,SUV Premier,D0150,C05996,2.9,6,239.86,Cash,Completed,189.64,High School,4.5,82.71
RX001412,28-Feb-2022 09:35,Delhi,SUV Premier,D0381,C02376,9.1,22,383.31,Card,Completed,299.53,Diploma,4.5,42.12
RX001413,28-Feb-2022 14:48,Hyderabad,Mini,D0328,C02758,5.5,15,128.00,Cash,Completed,104.58,Diploma,5.0,23.27
RX001414,28-Feb-2022 15:01,Hyderabad,Auto,D0270,C01606,3.2,10,65.60,Cash,Completed,52.85,High School,4.5,20.50
RX001415,28-Feb-2022 17:14,Mumbai,Auto,D0291,C00863,3.6,9,67.80,UPI,Completed,53.45,Graduate,5.0,18.83
RX001416,28-Feb-2022 19:39,Ahmedabad,Mini,D0299,C01530,6.2,13,149.31,Card,Completed,116.97,Graduate,4.5,24.08
